Public Food Key,Name,Description
F002955,"Cider, apple (alcohol approximately 4-5% v/v)","Alcoholic beverage prepared from fermented apples with significant residual sugars. Includes cider produced in Australia, New Zealand and Denmark. Approximately 4% alcohol."
F009572,"Wine, red, cabernet sauvignon","Alcoholic beverage produced by fermentation of grape juice from the cabernet sauvignon grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia. Approximately 12% v/v alcohol."
F009574,"Wine, red, merlot","Alcoholic beverage produced by fermentation of grape juice from the merlot grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
F009575,"Wine, red, pinot noir","Alcoholic beverage produced by fermentation of grape juice from the pinot noir grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
F009577,"Wine, red, shiraz","Alcoholic beverage produced by fermentation of grape juice from the shiraz grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia only. Approximately 12% v/v alcohol."
F009571,"Wine, red",Alcoholic beverage produced by fermentation of grape juice with prolonged grape skin contact to produce wine of a deep red colour. Approximately 12% v/v alcohol.
F009573,"Wine, red, cooked","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, that has been heated until the majority of alcohol has evaporated."
F009578,"Wine, red, sparkling","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. Approximately 13% v/v alcohol."
F009579,"Wine, rose",Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. Includes wine produced in Australia and New Zealand. Approximately 13% v/v alcohol.
F009583,"Wine, white, sauvignon blanc","Alcoholic beverage produced by fermentation of grape juice from the sauvignon blanc grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
F009584,"Wine, white, semillon","Alcoholic beverage produced by fermentation of grape juice from the semillon grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia only. Approximately 12% v/v alcohol."
F009582,"Wine, white, chardonnay","Alcoholic beverage produced by fermentation of grape juice produced from the chardonnay grape, with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia. Approximately 13% v/v alcohol."
F009586,"Wine, white, riesling","Alcoholic beverage prepared by fermentation of grape juice produced from the riesling grape, with little contact with grape skins so that the wine is pale yellow in colour with some sugars remaining. Includes wine produced in Australia. Approximately 12% v/v alcohol."
F009581,"Wine, white","Alcoholic beverage produced by fermentation of grape juice, produced with little contact with grape skins so that the wine is pale yellow in colour. Approximately 12% v/v alcohol."
F009580,"Wine, white, cooked","Alcoholic beverage produced by fermentation of grape juice with little contact with grape skins, then heated until the majority of alcohol has evaporated."
F009590,"Wine, white, sparkling",Alcoholic beverage prepared by fermentation of grape juice produced with little grape skin contact so that the wine is pale yellow in colour and retains significant quantities of dissolved carbon dioxide. Includes wine described as brut or semi-brut in style produced in Australia and France. Approximately 12% v/v alcohol.
F009592,"Wine, white, sweet dessert style","Alcoholic beverage prepared by fermentation of grape juice with little grape skin contact, so that the wine is golden in colour and retains a high level of residual sugars (approximately 10% sugars). Includes botrytised wine produced in Australia and New Zealand. Approximately 10% v/v alcohol."
F009566,"Wine, fortified, port","Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. Approximately 16% v/v alcohol."
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). Approximately 18% v/v alcohol.
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",Fermented grape juice to which additional alcohol is added and with a high sugars content (approximately 11%) and a sweet flavour. Approximately 17.0% v/v alcohol.
F002980,Cocoa powder,Powder produced from the liquor extracted from cocoa beans. Typically used to flavour beverages and in baking.
F001029,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)","Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Contains added iron, calcium and vitamins A, B1, B2, C and D. Typical ingredients include malted cereals, milk solids and cocoa. Milo brand is an example of such a product."
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",Beverage prepared by mixing milo powder with regular fat cows milk.
F001036,"Beverage base, drinking chocolate, unfortified","Unfortified powdered mixture of sugar and cocoa or chocolate used for mixing with milk or water to produce a beverage. Other ingredients may include maltodextrin, milk solids, soy lecithin, salt, flavour."
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",Beverage prepared by mixing drinking chocolate powder with regular fat cows milk.
F003060,"Coffee, instant, dry powder or granules","Dried extract of coffee beans, used to produce a beverage by the addition of boiling water."
F003017,"Coffee, black, from instant coffee powder","Beverage made from instant coffee powder or granules to which boiling water is added. Does not contain added milk, sugar or flavour."
F003061,"Coffee, instant, dry powder or granules, decaffeinated","Dried extract of decaffeinated coffee beans, used to produce a beverage by the addition of boiling water."
F003018,"Coffee, black, from instant coffee powder, decaffeinated","Beverage made from instant decaffeinated coffee powder or granules to which boiling water is added. Does not contain added milk, sugar or flavour."
F003041,"Coffee, espresso, from ground coffee beans","Beverage prepared from ground coffee beans and a small amount of hot water, as purchased in takeaway outlets or restaurants. Does not contain added milk, sugar or flavour."
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",Beverage prepared from a serve of espresso style coffee to which a large amount of heated and aerated regular fat cows milk is added and sprinkled with chocolate. Does not contain added sugar or flavour.
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",Beverage prepared from a serve of espresso style coffee to which a large amount of heated and aerated regular fat cows milk is added. Does not contain added sugar or flavour.
F003065,"Coffee, long black, from ground coffee beans","Beverage prepared from ground coffee beans to which a large volume of hot water is added. Does not contain added milk, sugar, or flavour."
F003130,"Cordial base, 25% citrus fruit juice, regular","Concentrated sugar-based syrup containing a minimum of 25% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water."
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing 25% citrus fruit juice with 4 parts of water.
F003135,"Cordial base, 40% citrus fruit juice, regular","Concentrated sugar-based syrup containing at least 40% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water."
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing 40% non-citrus fruit juice with 4 parts of water.
F003128,"Cordial base, 5% blackcurrant juice, regular","Concentrated sugar-based syrup containing a minimum of 5% blackcurrant juice, used to prepare a beverage by dilution with water."
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing blackcurrant juice with 5 parts of water.
F004099,"Fruit drink, apple juice","Commercially prepared product made from 25% apple juice or puree, water, sugars and food acids. Does not contain added vitamin C."
F004102,"Fruit drink, cranberry","Commercially prepared beverage made from approximately 25% cranberry juice, water and sugar."
F004114,"Fruit drink, orange juice","Commercially prepared beverage made from 25% orange juice with added water, sugar and food acid. Does not contain added vitamin C."
F004663,"Juice, apple, commercial, added vitamin C",Commercial beverage prepared by crushing apples and filtering or clarifying the resultant juice. Contains added vitamin C. Does not contain added sugar.
F004656,"Juice, apple & blackcurrant, commercial",Commercial beverage prepared from crushed apples and blackcurrants. Does not contain added sugar.
F004726,"Juice, lemon",Commercial or homemade liquid prepared from the endocarp of lemons.
F004729,"Juice, lime",Commercial or homemade liquid prepared from the endocarp of limes.
F004739,"Juice, orange, commercial","Commercial beverage sold chilled which is prepared from the endocarp of oranges. Contains added vitamin C, but does not contain added sugar."
F004731,"Juice, orange & mango, commercial","Commercial beverage prepared from 95% orange juice and 5% mango juice. Contains added vitamin C, but does not contain added sugar."
F005696,"Mineral water, natural, unflavoured","Carbonated or naturally sparkling ground water obtained from subterranean water-bearing strata that, in its natural state, contains soluble matter. No added sugar or flavours."
F005694,"Mineral water, citrus flavoured","Carbonated, non-alcoholic beverage containing 5% citrus juice (orange and lemon), mineral water and sugar."
F008402,"Soft drink, cola flavour","Carbonated, non-alcoholic beverage containing water, sugar, cola flavour, caffeine and colours."
F008403,"Soft drink, cola flavour, decaffeinated","Decaffeinated, carbonated, non-alcoholic beverage containing water, sugar, cola flavour."
F008404,"Soft drink, cola flavour, intense sweetened or diet","Carbonated, non-alcoholic beverage containing water, intense sweeteners, cola flavour, caffeine and colours."
F008405,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated","Decaffeinated, carbonated, non-alcoholic beverage containing water, intense sweeteners, cola flavour and colours."
F008421,"Soft drink, energy drink, Red Bull","Carbonated, non-alcoholic water-based flavoured beverage containing added caffeine, taurine, glucuronolactone, inositol, niacinamide, pantothenic acid, vitamins B6 and B12."
F008424,"Soft drink, energy drink, V","Carbonated, non-alcoholic water-based flavoured beverage containing added caffeine, taurine, guarana, inositol, glucoronolactone, pantothenic acid, vitamins B2, B3, B6 and B12. May also contain ginkgo bilboa extract."
F008438,"Soft drink, lemonade and fruit flavours","Carbonated, non-alcoholic beverage prepared from water, sugar and citric acid."
F008439,"Soft drink, lemonade and fruit flavours, intense sweetened or diet","Carbonated, non-alcoholic beverage prepared from water, intense sweetener, fruit flavours and colours."
F008460,"Soft drink, tonic water","Carbonated, non-alcoholic beverage prepared from water and sugar with added quinine."
F008461,"Soft drink, tonic water, intense sweetened or diet","Carbonated, non-alcoholic beverage prepared from water and intense sweetener with added quinine."
F009117,"Tea, green, plain, without milk","Beverage prepared by brewing green, unfermented tea leaves in hot water, either as loose tea leaves or encased in porous teabags. Tea is not decaffeinated or flavoured. Does not contain added milk or sugar."
F009125,"Tea, regular, black, brewed from leaf or teabags, without milk","Beverage prepared by brewing black tea leaves (dried, fermented leaves of Camellia sinensis) in hot water, either as loose tea leaves or encased in porous teabags. Tea is not decaffeinated or flavoured. Does not contain added milk or sugar."
F009115,"Tea, decaffeinated, black, brewed from leaf or teabags, without milk","Beverage prepared by brewing black decaffeinated tea leaves (dried, fermented leaves of Chrysanthemum species) in hot water, either as loose tea leaves or encased in porous teabags. Tea is not flavoured. Does not contain added milk or sugar."
F009516,"Water, bottled, still","Still, non-carbonated water bottled prior to sale. May include spring water."
F009527,"Water, tap","Water as supplied through the municipal water system. Values are approximations of those reported across Australia, and may vary according to location or time of year."
F008377,"Water, soda",Carbonated water.
F001152,"Biscuit, savoury, rice cracker, plain","Commercially prepared savoury biscuit made predominantly from rice flour, without added flavourings."
F001153,"Biscuit, savoury, rice cracker, seaweed flavoured","Commercially prepared savoury biscuit made predominantly from rice flour, with added seaweed flavourings."
F001151,"Biscuit, savoury, rice cracker, flavoured (excluding cheese or seaweed)","Savoury biscuit made predominantly from rice flour, with added flavourings such as BBQ, chicken and salt and vinegar. Does not include seaweed, cheese or sour cream flavoured rice crackers."
F001122,"Biscuit, savoury, from white wheat flour, cheese-flavoured","Commercially prepared savoury small biscuit made from white wheat flour, with added fat and cheese flavourings."
F001125,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)","Commercially prepared savoury small biscuit made from white wheat flour, with added fat and flavourings other than cheese."
F001126,"Biscuit, savoury, from white wheat flour, plain snack cracker style","Commercially prepared, small, plain savoury biscuit made from white wheat flour and added fat, sprinkled with salt."
F001123,"Biscuit, savoury, from white wheat flour, flaky cracker style","Commercially prepared, square, plain savoury biscuit made from white wheat flour, with a flaky or layered texture."
F001133,"Biscuit, savoury, from white wheat flour, water cracker style","Commercially prepared round, savoury biscuits made from white wheat flour and water."
F001137,"Biscuit, savoury, from wholemeal wheat flour, crispbread","Commercially prepared savoury thin, flat, biscuit made from wholemeal wheat flour (plain varieties)."
F001135,"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed","Commercially prepared savoury thin, flat rectangle of puffed, toasted dry bread made from wholemeal wheat flour, some with added bran, malt or rye."
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients","Home prepared crunchy oat biscuit prepared from common household ingredients including rolled oats, wheat flour, coconut, fat and golden syrup."
F001168,"Biscuit, sweet, biscuit base, mint filling, chocolate-coated","Commercially prepared sweet biscuit, generally chocolate flavoured, sandwiched with sweetened creamy mint filling and coated in chocolate."
F001170,"Biscuit, sweet, chocolate chip",Commercially prepared sweet biscuit with added chocolate chips.
F001215,"Biscuit, sweet, plain","Commercially prepared sweet plain biscuit, made without added flavourings, chocolate, fruit or nuts."
F001234,"Biscuit, sweet, sandwich, cream filling, chocolate-coated","Commercially prepared sweet biscuit, generally chocolate flavoured, sandwiched with sweetened creamy filling and coated in chocolate."
F001233,"Biscuit, sweet, sandwich, cream & jam filling","Commercially prepared, non-chocolate flavoured sweet biscuit sandwiched with jam and sweetened creamy filling."
F001251,"Biscuit, sweet, wheatmeal",Commercially prepared sweet biscuit made from wheat flour with added wheatmeal.
F003095,"Cone, wafer style, for ice cream","Wafer shaped into a cone or similar shape, used for serving ice cream."
F001683,"Breadcrumbs, white",Crisp crumbs crushed from white bread which has been dried and packaged before sale. Contains added folic acid and iodised salt.
F001387,"Bread, damper, from white flour, homemade","Round, chemically leavened bread with a thick rough crust and soft inner crumb. Homemade from basic ingredients such as white wheat flour, salt, water or milk and sugar."
F001420,"Bread, flat, white, commercial","Flat bread made from white wheat flour. Includes a range of styles, including Lebanese, pita, naan, tortillas, mountain bread and wraps. May vary in diameter. Contains added folic acid, iodised salt and thiamin. Ready to eat."
F001404,"Bread, flat (pita or Lebanese), wholemeal, commercial","Double layered, Middle Eastern style flat bread made from wholemeal wheat flour with a small amount of crumb adhering to both crusts. May vary in diameter. Contains added folic acid, iodised salt and thiamin."
F001463,"Bread, from white flour","Commercially prepared, sliced or unsliced bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid and iodine, in addition to thiamin. Ready to eat."
F001541,"Bread, from white flour, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid and iodine, in addition to thiamin. Cooked by toasting after purchase."
F001466,"Bread, from white flour, added calcium","Commercially prepared bread made from white, wheaten bread flour and other permitted ingredients. Contains added calcium, folic acid, iodised salt and thiamin."
F001467,"Bread, from white flour, added calcium, toasted","Commercially prepared bread made from white, wheaten bread flour and other permitted ingredients. Contains added calcium, folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001468,"Bread, from white flour, added fibre","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added fibre and/or added high amylose maize starch, folic acid, iodised salt and thiamin."
F001479,"Bread, from white flour, added fibre, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added fibre and/or added high amylose maize starch, folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001482,"Bread, from white flour, added iron","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added iron salts, folic acid, iodised salt and thiamin."
F001483,"Bread, from white flour, added iron, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added iron salts, folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001484,"Bread, from white flour, added omega-3 polyunsaturates","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added omega-3 fatty acids, folic acid, iodised salt and thiamin."
F001485,"Bread, from white flour, added omega-3 polyunsaturates, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added omega-3 fatty acids, folic acid and iodised salt and thiamin. Cooked by toasting after purchase."
F001543,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe","Commercially prepared bread made from white, wheaten Jackaroo brand bread-making flour specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1 and folate, iron and other permitted ingredients."
F001544,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted","Commercially prepared bread made from white, wheaten Jackaroo brand bread-making flour specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1 and folate, iron and other permitted ingredients. Cooked by toasting after purchase."
F001528,"Bread, from white flour, Italian-style, commercial","Commercially prepared, Italian style bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodised salt and thiamin."
F001529,"Bread, from white flour, Italian-style, commercial, toasted","Commercially prepared, Italian style bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001353,"Bread roll, from white flour","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin."
F001358,"Bread roll, from white flour, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001372,"Bread roll, topped with cheese","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Topped or mixed with grated cheddar cheese."
F001373,"Bread roll, topped with cheese & bacon","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Topped or mixed with grated cheddar cheese and bacon."
F001553,"Bread, from wholemeal flour","Commercially prepared, sliced or unsliced bread made from wheat flour containing all the milled constituents of the wheat grain. Contains added folic acid, iodine and thiamin."
F001597,"Bread, from wholemeal flour, toasted","Commercially prepared sliced or unsliced bread made from wheat flour containing all the milled constituents of the wheat grain. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001573,"Bread, from wholemeal flour, extra grainy & seeds","Commercially prepared bread made from wholemeal wheat flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin."
F001576,"Bread, from wholemeal flour, extra grainy & seeds, toasted","Commercially prepared bread made from wholemeal wheat flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001360,"Bread roll, from wholemeal flour","Commercially prepared bread made from wholemeal, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001364,"Bread roll, from wholemeal flour, toasted","Commercially prepared bread made from wholemeal, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001545,"Bread, from white or wholemeal flour, organic","Commercially prepared, sliced or unsliced bread made from white, wholemeal or rye wheaten bread-making flour and other permitted ingredients. May contain added folic acid and iodine, in addition to thiamin."
F001548,"Bread, from white or wholemeal flour, organic, toasted","Commercially prepared, sliced or unsliced bread made from white, wholemeal or rye wheaten bread-making flour and other permitted ingredients. May contain added folic acid and iodine, in addition to thiamin. Cooked by toasting after purchase."
F001621,"Bread, mixed grain","Commercially prepared sliced or unsliced bread made from white and/or wholemeal flour with added kibbled grains. Contains added folic acid, iodised salt and thiamin."
F001644,"Bread, mixed grain, toasted","Commercially prepared sliced or unsliced bread made from white and/or wholemeal flour with added kibbled grains. Contains added folic acid, iodised salt and thiamin. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001513,"Bread, from white flour, extra grainy & seeds","Commercially prepared bread made from white wheaten flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin."
F001514,"Bread, from white flour, extra grainy & seeds, toasted","Commercially prepared bread made from white wheaten flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001365,"Bread roll, mixed grain","Commercially prepared bread made from white and/or wholemeal flour with added kibbled grains. Dough shaped into a single serve before baking. Contains added folic acid, iodised salt and thiamin."
F001368,"Bread roll, mixed grain, toasted","Commercially prepared bread made from white and/or wholemeal flour with added kibbled grains. Dough shaped into a single serve before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001671,"Bread, from white flour, Turkish","Commercial yeast leavened, thin, soft-crusted white bread typically prepared from white wheat flour, olive oil, water, yeast, sugar, salt and sesame seeds. Contains added folic acid, iodised  salt and thiamin."
F001672,"Bread, from white flour, Turkish, toasted","Commercial yeast leavened, thin, soft-crusted white bread typically prepared from white flour, olive oil, water, yeast, sugar, salt and sesame seeds. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001457,"Bread, from white flour, added dried fruit","Commercially prepared bread made from white wheat flour and containing 10- 25% added dried fruit. Contains added folic acid, iodised salt and thiamin."
F001458,"Bread, from wheat flour, added dried fruit, toasted","Commercially prepared bread made from white wheat flour and containing 10- 25% added dried fruit. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase."
F001600,"Bread, garlic or herb, commercial, cooked","Commercially prepared white bread to which a garlic or herb butter mixture is added, before the bread is heated usually by baking to melt the butter mixture. Bread contains added folic acid, iodised salt and thiamin."
F001601,"Bread, garlic or herb, homemade, cooked","Sliced white bread to which a mixture of fat (butter/dairy blend or margarine) and garlic and/or herbs are added, before the bread is heated to melt the fat mixture. Bread contains added folic acid and iodised salt. Cooked by baking, toasting or heating in a microwave."
F001603,"Bread, gluten free","Commercially prepared bread made from grains other than wheat such as buckwheat groats, cornmeal, rice and quinoa. May contain added folic acid and iodised salt. Ready to eat."
F001609,"Bread, gluten free, toasted","Commercially prepared bread made from grains other than wheat such as buckwheat groats, cornmeal, rice and quinoa. May contain added folic acid and iodised salt. Cooked by toasting after purchase."
F001450,"Bread, from rye flour, sour dough","Commercially prepared sour dough made from white, wheaten bread-making flour and rye flour and other permitted ingredients. Contains added thiamin, folic acid and iodised salt."
F001451,"Bread, from rye flour, sour dough, toasted","Commercially prepared sour dough bread made from white, wheaten bread-making flour and rye flour and other permitted ingredients. Contains added thiamin, folic acid and iodised salt. Cooked by toasting after purchase."
F001940,"Bun, sweet, with dried fruit, uniced","Commercially prepared sweet bun made from yeasted wheat flour, containing added dried fruit, with sugar glaze on the top. Contains added folic acid and iodised salt."
F001939,"Bun, sweet, with dried fruit, iced","Commercially prepared sweet bun based on yeasted wheat flour dough and containing added dried fruit, topped with sugar based icing. Contains added folic acid and iodised salt"
